season,circuit,driver,team,grid_position,finish_position
2024,Dutch Grand Prix,TSU,RB,11,17
2024,Dutch Grand Prix,MAG,Haas F1 Team,20,18
2024,Dutch Grand Prix,BOT,Kick Sauber,16,19
2024,Dutch Grand Prix,ZHO,Kick Sauber,17,20
2024,Italian Grand Prix,LEC,Ferrari,4,1
2024,Italian Grand Prix,PIA,McLaren,2,2
2024,Italian Grand Prix,NOR,McLaren,1,3
2024,Italian Grand Prix,SAI,Ferrari,5,4
2024,Italian Grand Prix,HAM,Mercedes,6,5
2024,Italian Grand Prix,VER,Red Bull Racing,7,6
2024,Italian Grand Prix,RUS,Mercedes,3,7
2024,Italian Grand Prix,PER,Red Bull Racing,8,8
2024,Italian Grand Prix,ALB,Williams,9,9
2024,Italian Grand Prix,MAG,Haas F1 Team,13,10
2024,Italian Grand Prix,ALO,Aston Martin,11,11
2024,Italian Grand Prix,COL,Williams,18,12
2024,Italian Grand Prix,RIC,RB,12,13
2024,Italian Grand Prix,OCO,Alpine,15,14
2024,Italian Grand Prix,GAS,Alpine,14,15
2024,Italian Grand Prix,BOT,Kick Sauber,19,16
2024,Italian Grand Prix,HUL,Haas F1 Team,10,17
2024,Italian Grand Prix,ZHO,Kick Sauber,20,18
2024,Italian Grand Prix,STR,Aston Martin,17,19
2024,Italian Grand Prix,TSU,RB,16,20
2024,Azerbaijan Grand Prix,PIA,McLaren,2,1
2024,Azerbaijan Grand Prix,LEC,Ferrari,1,2
2024,Azerbaijan Grand Prix,RUS,Mercedes,5,3
2024,Azerbaijan Grand Prix,NOR,McLaren,15,4
2024,Azerbaijan Grand Prix,VER,Red Bull Racing,6,5
2024,Azerbaijan Grand Prix,ALO,Aston Martin,7,6
2024,Azerbaijan Grand Prix,ALB,Williams,9,7
2024,Azerbaijan Grand Prix,COL,Williams,8,8
2024,Azerbaijan Grand Prix,HAM,Mercedes,19,9
2024,Azerbaijan Grand Prix,BEA,Haas F1 Team,10,10
2024,Azerbaijan Grand Prix,HUL,Haas F1 Team,12,11
2024,Azerbaijan Grand Prix,GAS,Alpine,18,12
2024,Azerbaijan Grand Prix,RIC,RB,14,13
2024,Azerbaijan Grand Prix,ZHO,Kick Sauber,17,14
2024,Azerbaijan Grand Prix,OCO,Alpine,20,15
2024,Azerbaijan Grand Prix,BOT,Kick Sauber,16,16
2024,Azerbaijan Grand Prix,PER,Red Bull Racing,4,17
2024,Azerbaijan Grand Prix,SAI,Ferrari,3,18
2024,Azerbaijan Grand Prix,STR,Aston Martin,13,19
2024,Azerbaijan Grand Prix,TSU,RB,11,20
2024,Singapore Grand Prix,NOR,McLaren,1,1
2024,Singapore Grand Prix,VER,Red Bull Racing,2,2
2024,Singapore Grand Prix,PIA,McLaren,5,3
2024,Singapore Grand Prix,RUS,Mercedes,4,4
2024,Singapore Grand Prix,LEC,Ferrari,9,5
2024,Singapore Grand Prix,HAM,Mercedes,3,6
2024,Singapore Grand Prix,SAI,Ferrari,10,7
2024,Singapore Grand Prix,ALO,Aston Martin,7,8
2024,Singapore Grand Prix,HUL,Haas F1 Team,6,9
2024,Singapore Grand Prix,PER,Red Bull Racing,13,10
2024,Singapore Grand Prix,COL,Williams,12,11
2024,Singapore Grand Prix,TSU,RB,8,12
2024,Singapore Grand Prix,OCO,Alpine,15,13
2024,Singapore Grand Prix,STR,Aston Martin,17,14
2024,Singapore Grand Prix,ZHO,Kick Sauber,20,15
2024,Singapore Grand Prix,BOT,Kick Sauber,19,16
2024,Singapore Grand Prix,GAS,Alpine,18,17
2024,Singapore Grand Prix,RIC,RB,16,18
2024,Singapore Grand Prix,MAG,Haas F1 Team,14,19
2024,Singapore Grand Prix,ALB,Williams,11,20
2024,United States Grand Prix,LEC,Ferrari,4,1
2024,United States Grand Prix,SAI,Ferrari,3,2
2024,United States Grand Prix,VER,Red Bull Racing,2,3
2024,United States Grand Prix,NOR,McLaren,1,4
2024,United States Grand Prix,PIA,McLaren,5,5
2024,United States Grand Prix,RUS,Mercedes,20,6
2024,United States Grand Prix,PER,Red Bull Racing,9,7
2024,United States Grand Prix,HUL,Haas F1 Team,11,8
2024,United States Grand Prix,LAW,RB,19,9
2024,United States Grand Prix,COL,Williams,15,10
2024,United States Grand Prix,MAG,Haas F1 Team,8,11
2024,United States Grand Prix,GAS,Alpine,6,12
2024,United States Grand Prix,ALO,Aston Martin,7,13
2024,United States Grand Prix,TSU,RB,10,14
2024,United States Grand Prix,STR,Aston Martin,13,15
2024,United States Grand Prix,ALB,Williams,14,16
2024,United States Grand Prix,BOT,Kick Sauber,16,17
2024,United States Grand Prix,OCO,Alpine,12,18
2024,United States Grand Prix,ZHO,Kick Sauber,18,19
2024,United States Grand Prix,HAM,Mercedes,17,20
2024,Mexico City Grand Prix,SAI,Ferrari,1,1
2024,Mexico City Grand Prix,NOR,McLaren,3,2
2024,Mexico City Grand Prix,LEC,Ferrari,4,3
2024,Mexico City Grand Prix,HAM,Mercedes,6,4
2024,Mexico City Grand Prix,RUS,Mercedes,5,5
2024,Mexico City Grand Prix,VER,Red Bull Racing,2,6
2024,Mexico City Grand Prix,MAG,Haas F1 Team,7,7
2024,Mexico City Grand Prix,PIA,McLaren,17,8
2024,Mexico City Grand Prix,HUL,Haas F1 Team,10,9
2024,Mexico City Grand Prix,GAS,Alpine,8,10
2024,Mexico City Grand Prix,STR,Aston Martin,14,11
2024,Mexico City Grand Prix,COL,Williams,16,12
2024,Mexico City Grand Prix,OCO,Alpine,0,13
2024,Mexico City Grand Prix,BOT,Kick Sauber,15,14
2024,Mexico City Grand Prix,ZHO,Kick Sauber,19,15
2024,Mexico City Grand Prix,LAW,RB,12,16
2024,Mexico City Grand Prix,PER,Red Bull Racing,18,17
2024,Mexico City Grand Prix,ALO,Aston Martin,13,18
2024,Mexico City Grand Prix,ALB,Williams,9,19
2024,Mexico City Grand Prix,TSU,RB,11,20
2024,São Paulo Grand Prix,VER,Red Bull Racing,17,1
2024,São Paulo Grand Prix,OCO,Alpine,4,2
2024,São Paulo Grand Prix,GAS,Alpine,13,3
2024,São Paulo Grand Prix,RUS,Mercedes,2,4
2024,São Paulo Grand Prix,LEC,Ferrari,6,5
2024,São Paulo Grand Prix,NOR,McLaren,1,6
2024,São Paulo Grand Prix,TSU,RB,3,7
2024,São Paulo Grand Prix,PIA,McLaren,8,8
2024,São Paulo Grand Prix,LAW,RB,5,9
2024,São Paulo Grand Prix,HAM,Mercedes,14,10
2024,São Paulo Grand Prix,PER,Red Bull Racing,12,11
2024,São Paulo Grand Prix,BEA,Haas F1 Team,15,12
2024,São Paulo Grand Prix,BOT,Kick Sauber,11,13
2024,São Paulo Grand Prix,ALO,Aston Martin,9,14
2024,São Paulo Grand Prix,ZHO,Kick Sauber,19,15
2024,São Paulo Grand Prix,SAI,Ferrari,20,16
2024,São Paulo Grand Prix,COL,Williams,16,17
2024,São Paulo Grand Prix,ALB,Williams,7,18
2024,São Paulo Grand Prix,STR,Aston Martin,10,19
2024,São Paulo Grand Prix,HUL,Haas F1 Team,18,20
2024,Las Vegas Grand Prix,RUS,Mercedes,1,1
2024,Las Vegas Grand Prix,HAM,Mercedes,10,2
2024,Las Vegas Grand Prix,SAI,Ferrari,2,3
2024,Las Vegas Grand Prix,LEC,Ferrari,4,4
2024,Las Vegas Grand Prix,VER,Red Bull Racing,5,5
2024,Las Vegas Grand Prix,NOR,McLaren,6,6
2024,Las Vegas Grand Prix,PIA,McLaren,8,7
2024,Las Vegas Grand Prix,HUL,Haas F1 Team,9,8
2024,Las Vegas Grand Prix,TSU,RB,7,9
2024,Las Vegas Grand Prix,PER,Red Bull Racing,15,10
2024,Las Vegas Grand Prix,ALO,Aston Martin,16,11
2024,Las Vegas Grand Prix,MAG,Haas F1 Team,12,12
2024,Las Vegas Grand Prix,ZHO,Kick Sauber,13,13
2024,Las Vegas Grand Prix,COL,Williams,20,14
2024,Las Vegas Grand Prix,STR,Aston Martin,18,15
2024,Las Vegas Grand Prix,LAW,RB,14,16
2024,Las Vegas Grand Prix,OCO,Alpine,11,17
2024,Las Vegas Grand Prix,BOT,Kick Sauber,19,18
2024,Las Vegas Grand Prix,ALB,Williams,17,19
2024,Las Vegas Grand Prix,GAS,Alpine,3,20
2024,Qatar Grand Prix,VER,Red Bull Racing,2,1
2024,Qatar Grand Prix,LEC,Ferrari,5,2
2024,Qatar Grand Prix,PIA,McLaren,4,3
2024,Qatar Grand Prix,RUS,Mercedes,1,4
2024,Qatar Grand Prix,GAS,Alpine,11,5
2024,Qatar Grand Prix,SAI,Ferrari,7,6
2024,Qatar Grand Prix,ALO,Aston Martin,8,7
2024,Qatar Grand Prix,ZHO,Kick Sauber,12,8
2024,Qatar Grand Prix,MAG,Haas F1 Team,10,9
2024,Qatar Grand Prix,NOR,McLaren,3,10
2024,Qatar Grand Prix,BOT,Kick Sauber,13,11
2024,Qatar Grand Prix,HAM,Mercedes,6,12
2024,Qatar Grand Prix,TSU,RB,14,13
2024,Qatar Grand Prix,LAW,RB,17,14
2024,Qatar Grand Prix,ALB,Williams,16,15
2024,Qatar Grand Prix,HUL,Haas F1 Team,18,16
2024,Qatar Grand Prix,PER,Red Bull Racing,9,17
2024,Qatar Grand Prix,STR,Aston Martin,15,18
2024,Qatar Grand Prix,COL,Williams,19,19
2024,Qatar Grand Prix,OCO,Alpine,20,20
2024,Abu Dhabi Grand Prix,NOR,McLaren,1,1
2024,Abu Dhabi Grand Prix,SAI,Ferrari,3,2
2024,Abu Dhabi Grand Prix,LEC,Ferrari,19,3
2024,Abu Dhabi Grand Prix,HAM,Mercedes,16,4
2024,Abu Dhabi Grand Prix,RUS,Mercedes,6,5
2024,Abu Dhabi Grand Prix,VER,Red Bull Racing,4,6
2024,Abu Dhabi Grand Prix,GAS,Alpine,5,7
2024,Abu Dhabi Grand Prix,HUL,Haas F1 Team,7,8
2024,Abu Dhabi Grand Prix,ALO,Aston Martin,8,9
2024,Abu Dhabi Grand Prix,PIA,McLaren,2,10
2024,Abu Dhabi Grand Prix,ALB,Williams,18,11
2024,Abu Dhabi Grand Prix,TSU,RB,11,12
2024,Abu Dhabi Grand Prix,ZHO,Kick Sauber,15,13
2024,Abu Dhabi Grand Prix,STR,Aston Martin,13,14
2024,Abu Dhabi Grand Prix,DOO,Alpine,17,15
2024,Abu Dhabi Grand Prix,MAG,Haas F1 Team,14,16
2024,Abu Dhabi Grand Prix,LAW,RB,12,17
2024,Abu Dhabi Grand Prix,BOT,Kick Sauber,9,18
2024,Abu Dhabi Grand Prix,COL,Williams,20,19
2024,Abu Dhabi Grand Prix,PER,Red Bull Racing,10,20
2025,Australian Grand Prix,NOR,McLaren,1,1
2025,Australian Grand Prix,VER,Red Bull Racing,3,2
2025,Australian Grand Prix,RUS,Mercedes,4,3
2025,Australian Grand Prix,ANT,Mercedes,16,4
2025,Australian Grand Prix,ALB,Williams,6,5
2025,Australian Grand Prix,STR,Aston Martin,13,6
2025,Australian Grand Prix,HUL,Kick Sauber,17,7
2025,Australian Grand Prix,LEC,Ferrari,7,8
2025,Australian Grand Prix,PIA,McLaren,2,9
2025,Australian Grand Prix,HAM,Ferrari,8,10
2025,Australian Grand Prix,GAS,Alpine,9,11
2025,Australian Grand Prix,TSU,Racing Bulls,5,12
2025,Australian Grand Prix,OCO,Haas F1 Team,19,13
2025,Australian Grand Prix,BEA,Haas F1 Team,20,14
2025,Australian Grand Prix,LAW,Red Bull Racing,18,15
2025,Australian Grand Prix,BOR,Kick Sauber,15,16
2025,Australian Grand Prix,ALO,Aston Martin,12,17
2025,Australian Grand Prix,SAI,Williams,10,18
2025,Australian Grand Prix,DOO,Alpine,14,19
2025,Australian Grand Prix,HAD,Racing Bulls,11,20
2025,Chinese Grand Prix,PIA,McLaren,1,1
2025,Chinese Grand Prix,NOR,McLaren,3,2
2025,Chinese Grand Prix,RUS,Mercedes,2,3
2025,Chinese Grand Prix,VER,Red Bull Racing,4,4
2025,Chinese Grand Prix,OCO,Haas F1 Team,11,5
2025,Chinese Grand Prix,ANT,Mercedes,8,6
2025,Chinese Grand Prix,ALB,Williams,10,7
2025,Chinese Grand Prix,BEA,Haas F1 Team,17,8
2025,Chinese Grand Prix,STR,Aston Martin,14,9
2025,Chinese Grand Prix,SAI,Williams,15,10
2025,Chinese Grand Prix,HAD,Racing Bulls,7,11
2025,Chinese Grand Prix,LAW,Red Bull Racing,20,12
2025,Chinese Grand Prix,DOO,Alpine,18,13
2025,Chinese Grand Prix,BOR,Kick Sauber,19,14
2025,Chinese Grand Prix,HUL,Kick Sauber,12,15
2025,Chinese Grand Prix,TSU,Racing Bulls,9,16
2025,Chinese Grand Prix,ALO,Aston Martin,13,17
2025,Chinese Grand Prix,LEC,Ferrari,6,18
2025,Chinese Grand Prix,HAM,Ferrari,5,19
2025,Chinese Grand Prix,GAS,Alpine,16,20
2025,Japanese Grand Prix,VER,Red Bull Racing,1,1
2025,Japanese Grand Prix,NOR,McLaren,2,2
2025,Japanese Grand Prix,PIA,McLaren,3,3
2025,Japanese Grand Prix,LEC,Ferrari,4,4
2025,Japanese Grand Prix,RUS,Mercedes,5,5
2025,Japanese Grand Prix,ANT,Mercedes,6,6
2025,Japanese Grand Prix,HAM,Ferrari,8,7
2025,Japanese Grand Prix,HAD,Racing Bulls,7,8
2025,Japanese Grand Prix,ALB,Williams,9,9
2025,Japanese Grand Prix,BEA,Haas F1 Team,10,10
2025,Japanese Grand Prix,ALO,Aston Martin,12,11
2025,Japanese Grand Prix,TSU,Red Bull Racing,14,12
2025,Japanese Grand Prix,GAS,Alpine,11,13
2025,Japanese Grand Prix,SAI,Williams,15,14
2025,Japanese Grand Prix,DOO,Alpine,19,15
2025,Japanese Grand Prix,HUL,Kick Sauber,16,16
2025,Japanese Grand Prix,LAW,Racing Bulls,13,17
2025,Japanese Grand Prix,OCO,Haas F1 Team,18,18
2025,Japanese Grand Prix,BOR,Kick Sauber,17,19
2025,Japanese Grand Prix,STR,Aston Martin,20,20
2025,Bahrain Grand Prix,PIA,McLaren,1,1
2025,Bahrain Grand Prix,RUS,Mercedes,3,2
2025,Bahrain Grand Prix,NOR,McLaren,6,3
2025,Bahrain Grand Prix,LEC,Ferrari,2,4
2025,Bahrain Grand Prix,HAM,Ferrari,9,5
2025,Bahrain Grand Prix,VER,Red Bull Racing,7,6
2025,Bahrain Grand Prix,GAS,Alpine,4,7
2025,Bahrain Grand Prix,OCO,Haas F1 Team,14,8
2025,Bahrain Grand Prix,TSU,Red Bull Racing,10,9
2025,Bahrain Grand Prix,BEA,Haas F1 Team,20,10
2025,Bahrain Grand Prix,ANT,Mercedes,5,11
2025,Bahrain Grand Prix,ALB,Williams,15,12
2025,Bahrain Grand Prix,HAD,Racing Bulls,12,13
2025,Bahrain Grand Prix,DOO,Alpine,11,14
2025,Bahrain Grand Prix,ALO,Aston Martin,13,15
2025,Bahrain Grand Prix,LAW,Racing Bulls,17,16
2025,Bahrain Grand Prix,STR,Aston Martin,19,17
2025,Bahrain Grand Prix,BOR,Kick Sauber,18,18
2025,Bahrain Grand Prix,SAI,Williams,8,19
2025,Bahrain Grand Prix,HUL,Kick Sauber,16,20
2025,Saudi Arabian Grand Prix,PIA,McLaren,2,1
2025,Saudi Arabian Grand Prix,VER,Red Bull Racing,1,2
2025,Saudi Arabian Grand Prix,LEC,Ferrari,4,3
2025,Saudi Arabian Grand Prix,NOR,McLaren,10,4
2025,Saudi Arabian Grand Prix,RUS,Mercedes,3,5
2025,Saudi Arabian Grand Prix,ANT,Mercedes,5,6
2025,Saudi Arabian Grand Prix,HAM,Ferrari,7,7
2025,Saudi Arabian Grand Prix,SAI,Williams,6,8
2025,Saudi Arabian Grand Prix,ALB,Williams,11,9
2025,Saudi Arabian Grand Prix,HAD,Racing Bulls,14,10
2025,Saudi Arabian Grand Prix,ALO,Aston Martin,13,11
2025,Saudi Arabian Grand Prix,LAW,Racing Bulls,12,12
2025,Saudi Arabian Grand Prix,BEA,Haas F1 Team,15,13
2025,Saudi Arabian Grand Prix,OCO,Haas F1 Team,19,14
2025,Saudi Arabian Grand Prix,HUL,Kick Sauber,18,15
2025,Saudi Arabian Grand Prix,STR,Aston Martin,16,16
2025,Saudi Arabian Grand Prix,DOO,Alpine,17,17
2025,Saudi Arabian Grand Prix,BOR,Kick Sauber,20,18
2025,Saudi Arabian Grand Prix,TSU,Red Bull Racing,8,19
2025,Saudi Arabian Grand Prix,GAS,Alpine,9,20
2025,Miami Grand Prix,PIA,McLaren,4,1
2025,Miami Grand Prix,NOR,McLaren,2,2
2025,Miami Grand Prix,RUS,Mercedes,5,3
2025,Miami Grand Prix,VER,Red Bull Racing,1,4
2025,Miami Grand Prix,ALB,Williams,7,5
2025,Miami Grand Prix,ANT,Mercedes,3,6
2025,Miami Grand Prix,LEC,Ferrari,8,7
2025,Miami Grand Prix,HAM,Ferrari,12,8
2025,Miami Grand Prix,SAI,Williams,6,9
2025,Miami Grand Prix,TSU,Red Bull Racing,10,10
2025,Miami Grand Prix,HAD,Racing Bulls,11,11
2025,Miami Grand Prix,OCO,Haas F1 Team,9,12
2025,Miami Grand Prix,GAS,Alpine,20,13
2025,Miami Grand Prix,HUL,Kick Sauber,16,14
2025,Miami Grand Prix,ALO,Aston Martin,17,15
2025,Miami Grand Prix,STR,Aston Martin,18,16
2025,Miami Grand Prix,LAW,Racing Bulls,15,17
2025,Miami Grand Prix,BOR,Kick Sauber,13,18
2025,Miami Grand Prix,BEA,Haas F1 Team,19,19
2025,Miami Grand Prix,DOO,Alpine,14,20
2025,Emilia Romagna Grand Prix,VER,Red Bull Racing,2,1
2025,Emilia Romagna Grand Prix,NOR,McLaren,4,2
2025,Emilia Romagna Grand Prix,PIA,McLaren,1,3
2025,Emilia Romagna Grand Prix,HAM,Ferrari,12,4
2025,Emilia Romagna Grand Prix,ALB,Williams,7,5
2025,Emilia Romagna Grand Prix,LEC,Ferrari,11,6
2025,Emilia Romagna Grand Prix,RUS,Mercedes,3,7
2025,Emilia Romagna Grand Prix,SAI,Williams,6,8
2025,Emilia Romagna Grand Prix,HAD,Racing Bulls,9,9
2025,Emilia Romagna Grand Prix,TSU,Red Bull Racing,20,10
2025,Emilia Romagna Grand Prix,ALO,Aston Martin,5,11
2025,Emilia Romagna Grand Prix,HUL,Kick Sauber,17,12
2025,Emilia Romagna Grand Prix,GAS,Alpine,10,13
2025,Emilia Romagna Grand Prix,LAW,Racing Bulls,15,14
2025,Emilia Romagna Grand Prix,STR,Aston Martin,8,15
2025,Emilia Romagna Grand Prix,COL,Alpine,16,16
2025,Emilia Romagna Grand Prix,BEA,Haas F1 Team,19,17
2025,Emilia Romagna Grand Prix,BOR,Kick Sauber,14,18
2025,Emilia Romagna Grand Prix,ANT,Mercedes,13,19
2025,Emilia Romagna Grand Prix,OCO,Haas F1 Team,18,20
2025,Monaco Grand Prix,NOR,McLaren,1,1
2025,Monaco Grand Prix,LEC,Ferrari,2,2
2025,Monaco Grand Prix,PIA,McLaren,3,3
2025,Monaco Grand Prix,VER,Red Bull Racing,4,4
2025,Monaco Grand Prix,HAM,Ferrari,7,5
2025,Monaco Grand Prix,HAD,Racing Bulls,5,6
2025,Monaco Grand Prix,OCO,Haas F1 Team,8,7
2025,Monaco Grand Prix,LAW,Racing Bulls,9,8
2025,Monaco Grand Prix,ALB,Williams,10,9
2025,Monaco Grand Prix,SAI,Williams,11,10
2025,Monaco Grand Prix,RUS,Mercedes,14,11
2025,Monaco Grand Prix,BEA,Haas F1 Team,20,12
2025,Monaco Grand Prix,COL,Alpine,18,13
2025,Monaco Grand Prix,BOR,Kick Sauber,16,14
2025,Monaco Grand Prix,STR,Aston Martin,19,15
2025,Monaco Grand Prix,HUL,Kick Sauber,13,16
2025,Monaco Grand Prix,TSU,Red Bull Racing,12,17
2025,Monaco Grand Prix,ANT,Mercedes,15,18
2025,Monaco Grand Prix,ALO,Aston Martin,6,19
2025,Monaco Grand Prix,GAS,Alpine,17,20
2025,Spanish Grand Prix,PIA,McLaren,1,1
2025,Spanish Grand Prix,NOR,McLaren,2,2
2025,Spanish Grand Prix,LEC,Ferrari,7,3
2025,Spanish Grand Prix,RUS,Mercedes,4,4
2025,Spanish Grand Prix,HUL,Kick Sauber,15,5
2025,Spanish Grand Prix,HAM,Ferrari,5,6
2025,Spanish Grand Prix,HAD,Racing Bulls,9,7
2025,Spanish Grand Prix,GAS,Alpine,8,8
2025,Spanish Grand Prix,ALO,Aston Martin,10,9
2025,Spanish Grand Prix,VER,Red Bull Racing,3,10
2025,Spanish Grand Prix,LAW,Racing Bulls,13,11
2025,Spanish Grand Prix,BOR,Kick Sauber,12,12
2025,Spanish Grand Prix,TSU,Red Bull Racing,19,13
2025,Spanish Grand Prix,SAI,Williams,17,14
2025,Spanish Grand Prix,COL,Alpine,18,15
2025,Spanish Grand Prix,OCO,Haas F1 Team,16,16
2025,Spanish Grand Prix,BEA,Haas F1 Team,14,17
2025,Spanish Grand Prix,ANT,Mercedes,6,18
2025,Spanish Grand Prix,ALB,Williams,11,19
2025,Canadian Grand Prix,RUS,Mercedes,1,1
2025,Canadian Grand Prix,VER,Red Bull Racing,2,2
2025,Canadian Grand Prix,ANT,Mercedes,4,3
2025,Canadian Grand Prix,PIA,McLaren,3,4
2025,Canadian Grand Prix,LEC,Ferrari,8,5
2025,Canadian Grand Prix,HAM,Ferrari,5,6
2025,Canadian Grand Prix,ALO,Aston Martin,6,7
2025,Canadian Grand Prix,HUL,Kick Sauber,11,8
2025,Canadian Grand Prix,OCO,Haas F1 Team,14,9
2025,Canadian Grand Prix,SAI,Williams,16,10
2025,Canadian Grand Prix,BEA,Haas F1 Team,13,11
2025,Canadian Grand Prix,TSU,Red Bull Racing,18,12
2025,Canadian Grand Prix,COL,Alpine,10,13
2025,Canadian Grand Prix,BOR,Kick Sauber,15,14
2025,Canadian Grand Prix,GAS,Alpine,20,15
2025,Canadian Grand Prix,HAD,Racing Bulls,12,16
2025,Canadian Grand Prix,STR,Aston Martin,17,17
2025,Canadian Grand Prix,NOR,McLaren,7,18
2025,Canadian Grand Prix,LAW,Racing Bulls,19,19
2025,Canadian Grand Prix,ALB,Williams,9,20
2025,Austrian Grand Prix,NOR,McLaren,1,1
2025,Austrian Grand Prix,PIA,McLaren,3,2
2025,Austrian Grand Prix,LEC,Ferrari,2,3
2025,Austrian Grand Prix,HAM,Ferrari,4,4
2025,Austrian Grand Prix,RUS,Mercedes,5,5
2025,Austrian Grand Prix,LAW,Racing Bulls,6,6
2025,Austrian Grand Prix,ALO,Aston Martin,11,7
2025,Austrian Grand Prix,BOR,Kick Sauber,8,8
2025,Austrian Grand Prix,HUL,Kick Sauber,20,9
2025,Austrian Grand Prix,OCO,Haas F1 Team,17,10
2025,Austrian Grand Prix,BEA,Haas F1 Team,15,11
2025,Austrian Grand Prix,HAD,Racing Bulls,13,12
2025,Austrian Grand Prix,GAS,Alpine,10,13
2025,Austrian Grand Prix,STR,Aston Martin,16,14
2025,Austrian Grand Prix,COL,Alpine,14,15
2025,Austrian Grand Prix,TSU,Red Bull Racing,18,16
2025,Austrian Grand Prix,ALB,Williams,12,17
2025,Austrian Grand Prix,VER,Red Bull Racing,7,18
2025,Austrian Grand Prix,ANT,Mercedes,9,19
2025,Austrian Grand Prix,SAI,Williams,19,20
2025,British Grand Prix,NOR,McLaren,3,1
2025,British Grand Prix,PIA,McLaren,2,2
2025,British Grand Prix,HUL,Kick Sauber,19,3
2025,British Grand Prix,HAM,Ferrari,5,4
2025,British Grand Prix,VER,Red Bull Racing,1,5
2025,British Grand Prix,GAS,Alpine,8,6
2025,British Grand Prix,STR,Aston Martin,17,7
2025,British Grand Prix,ALB,Williams,13,8
2025,British Grand Prix,ALO,Aston Martin,7,9
2025,British Grand Prix,RUS,Mercedes,4,10
2025,British Grand Prix,BEA,Haas F1 Team,18,11
2025,British Grand Prix,SAI,Williams,9,12
2025,British Grand Prix,OCO,Haas F1 Team,14,13
2025,British Grand Prix,LEC,Ferrari,6,14
2025,British Grand Prix,TSU,Red Bull Racing,11,15
2025,British Grand Prix,ANT,Mercedes,10,16
2025,British Grand Prix,HAD,Racing Bulls,12,17
2025,British Grand Prix,BOR,Kick Sauber,16,18
2025,British Grand Prix,LAW,Racing Bulls,15,19
2025,British Grand Prix,COL,Alpine,20,20
2025,Belgian Grand Prix,PIA,McLaren,2,1
2025,Belgian Grand Prix,NOR,McLaren,1,2
2025,Belgian Grand Prix,LEC,Ferrari,3,3
2025,Belgian Grand Prix,VER,Red Bull Racing,4,4
2025,Belgian Grand Prix,RUS,Mercedes,6,5
2025,Belgian Grand Prix,ALB,Williams,5,6
2025,Belgian Grand Prix,HAM,Ferrari,18,7
2025,Belgian Grand Prix,LAW,Racing Bulls,9,8
2025,Belgian Grand Prix,BOR,Kick Sauber,10,9
2025,Belgian Grand Prix,GAS,Alpine,13,10
2025,Belgian Grand Prix,BEA,Haas F1 Team,12,11
2025,Belgian Grand Prix,HUL,Kick Sauber,14,12
2025,Belgian Grand Prix,TSU,Red Bull Racing,7,13
2025,Belgian Grand Prix,STR,Aston Martin,16,14
2025,Belgian Grand Prix,OCO,Haas F1 Team,11,15
2025,Belgian Grand Prix,ANT,Mercedes,19,16
2025,Belgian Grand Prix,ALO,Aston Martin,20,17
2025,Belgian Grand Prix,SAI,Williams,17,18
2025,Belgian Grand Prix,COL,Alpine,15,19
2025,Belgian Grand Prix,HAD,Racing Bulls,8,20
2025,Hungarian Grand Prix,NOR,McLaren,3,1
2025,Hungarian Grand Prix,PIA,McLaren,2,2
2025,Hungarian Grand Prix,RUS,Mercedes,4,3
2025,Hungarian Grand Prix,LEC,Ferrari,1,4
2025,Hungarian Grand Prix,ALO,Aston Martin,5,5
2025,Hungarian Grand Prix,BOR,Kick Sauber,7,6
2025,Hungarian Grand Prix,STR,Aston Martin,6,7
2025,Hungarian Grand Prix,LAW,Racing Bulls,9,8
2025,Hungarian Grand Prix,VER,Red Bull Racing,8,9
2025,Hungarian Grand Prix,ANT,Mercedes,15,10
2025,Hungarian Grand Prix,HAD,Racing Bulls,10,11
2025,Hungarian Grand Prix,HAM,Ferrari,12,12
2025,Hungarian Grand Prix,HUL,Kick Sauber,18,13
2025,Hungarian Grand Prix,SAI,Williams,13,14
2025,Hungarian Grand Prix,ALB,Williams,19,15
2025,Hungarian Grand Prix,OCO,Haas F1 Team,17,16
2025,Hungarian Grand Prix,TSU,Red Bull Racing,20,17
2025,Hungarian Grand Prix,COL,Alpine,14,18
2025,Hungarian Grand Prix,GAS,Alpine,16,19
2025,Hungarian Grand Prix,BEA,Haas F1 Team,11,20
2025,Dutch Grand Prix,PIA,McLaren,1,1
2025,Dutch Grand Prix,VER,Red Bull Racing,3,2
2025,Dutch Grand Prix,HAD,Racing Bulls,4,3
2025,Dutch Grand Prix,RUS,Mercedes,5,4
2025,Dutch Grand Prix,ALB,Williams,15,5
2025,Dutch Grand Prix,BEA,Haas F1 Team,20,6
2025,Dutch Grand Prix,STR,Aston Martin,19,7
2025,Dutch Grand Prix,ALO,Aston Martin,10,8
2025,Dutch Grand Prix,TSU,Red Bull Racing,12,9
2025,Dutch Grand Prix,OCO,Haas F1 Team,18,10
2025,Dutch Grand Prix,COL,Alpine,16,11
2025,Dutch Grand Prix,LAW,Racing Bulls,8,12
2025,Dutch Grand Prix,SAI,Williams,9,13
2025,Dutch Grand Prix,HUL,Kick Sauber,17,14
2025,Dutch Grand Prix,BOR,Kick Sauber,13,15
2025,Dutch Grand Prix,ANT,Mercedes,11,16
2025,Dutch Grand Prix,GAS,Alpine,14,17
2025,Dutch Grand Prix,NOR,McLaren,2,18
2025,Dutch Grand Prix,LEC,Ferrari,6,19
2025,Dutch Grand Prix,HAM,Ferrari,7,20
